1,26501,14,Mean intensity of 3rd-Ventricle (whole brain)
2,26502,15,Mean intensity of 4th-Ventricle (whole brain)
3,26503,72,Mean intensity of 5th-Ventricle (whole brain)
4,26548,26,Mean intensity of Accumbens-area (left hemisphere)
5,26579,58,Mean intensity of Accumbens-area (right hemisphere)
6,26547,18,Mean intensity of Amygdala (left hemisphere)
7,26578,54,Mean intensity of Amygdala (right hemisphere)
8,26504,16,Mean intensity of Brain-Stem (whole brain)
9,26513,255,Mean intensity of CC-Anterior (whole brain)
10,26511,253,Mean intensity of CC-Central (whole brain)
11,26512,254,Mean intensity of CC-Mid-Anterior (whole brain)
12,26510,252,Mean intensity of CC-Mid-Posterior (whole brain)
13,26509,251,Mean intensity of CC-Posterior (whole brain)
14,26505,24,Mean intensity of CSF (whole brain)
15,26543,11,Mean intensity of Caudate (left hemisphere)
16,26574,50,Mean intensity of Caudate (right hemisphere)
17,26541,8,Mean intensity of Cerebellum-Cortex (left hemisphere)
18,26572,47,Mean intensity of Cerebellum-Cortex (right hemisphere)
19,26540,7,Mean intensity of Cerebellum-White-Matter (left hemisphere)
20,26571,46,Mean intensity of Cerebellum-White-Matter (right hemisphere)
21,26546,17,Mean intensity of Hippocampus (left hemisphere)
22,26577,53,Mean intensity of Hippocampus (right hemisphere)
23,26539,5,Mean intensity of Inf-Lat-Vent (left hemisphere)
24,26570,44,Mean intensity of Inf-Lat-Vent (right hemisphere)
25,26538,4,Mean intensity of Lateral-Ventricle (left hemisphere)
26,26569,43,Mean intensity of Lateral-Ventricle (right hemisphere)
27,26508,85,Mean intensity of Optic-Chiasm (whole brain)
28,26545,13,Mean intensity of Pallidum (left hemisphere)
29,26576,52,Mean intensity of Pallidum (right hemisphere)
30,26544,12,Mean intensity of Putamen (left hemisphere)
31,26575,51,Mean intensity of Putamen (right hemisphere)
32,26542,10,Mean intensity of Thalamus-Proper (left hemisphere)
33,26573,49,Mean intensity of Thalamus-Proper (right hemisphere)
34,26549,28,Mean intensity of VentralDC (left hemisphere)
35,26580,60,Mean intensity of VentralDC (right hemisphere)
36,26506,77,Mean intensity of WM-hypointensities (whole brain)
37,26551,31,Mean intensity of choroid-plexus (left hemisphere)
38,26582,63,Mean intensity of choroid-plexus (right hemisphere)
39,26507,80,Mean intensity of non-WM-hypointensities (whole brain)
40,26550,30,Mean intensity of vessel (left hemisphere)
41,26581,62,Mean intensity of vessel (right hemisphere)
42,26523,14,Volume of 3rd-Ventricle (whole brain)
43,26524,15,Volume of 4th-Ventricle (whole brain)
44,26525,72,Volume of 5th-Ventricle (whole brain)
45,26564,26,Volume of Accumbens-area (left hemisphere)
46,26595,58,Volume of Accumbens-area (right hemisphere)
47,26563,18,Volume of Amygdala (left hemisphere)
48,26594,54,Volume of Amygdala (right hemisphere)
49,26526,16,Volume of Brain-Stem (whole brain)
50,26535,255,Volume of CC-Anterior (whole brain)
51,26533,253,Volume of CC-Central (whole brain)
52,26534,254,Volume of CC-Mid-Anterior (whole brain)
53,26532,252,Volume of CC-Mid-Posterior (whole brain)
54,26531,251,Volume of CC-Posterior (whole brain)
55,26527,24,Volume of CSF (whole brain)
56,26559,11,Volume of Caudate (left hemisphere)
57,26590,50,Volume of Caudate (right hemisphere)
58,26557,8,Volume of Cerebellum-Cortex (left hemisphere)
59,26588,47,Volume of Cerebellum-Cortex (right hemisphere)
60,26556,7,Volume of Cerebellum-White-Matter (left hemisphere)
61,26587,46,Volume of Cerebellum-White-Matter (right hemisphere)
62,26553,2,Volume of CerebralWhiteMatter (left hemisphere)
63,26584,41,Volume of CerebralWhiteMatter (right hemisphere)
64,26552,3,Volume of Cortex (left hemisphere)
65,26583,42,Volume of Cortex (right hemisphere)
66,26562,17,Volume of Hippocampus (left hemisphere)
67,26593,53,Volume of Hippocampus (right hemisphere)
68,26555,5,Volume of Inf-Lat-Vent (left hemisphere)
69,26586,44,Volume of Inf-Lat-Vent (right hemisphere)
70,26554,4,Volume of Lateral-Ventricle (left hemisphere)
71,26585,43,Volume of Lateral-Ventricle (right hemisphere)
72,26530,85,Volume of Optic-Chiasm (whole brain)
73,26561,13,Volume of Pallidum (left hemisphere)
74,26592,52,Volume of Pallidum (right hemisphere)
75,26560,12,Volume of Putamen (left hemisphere)
76,26591,51,Volume of Putamen (right hemisphere)
77,26558,10,Volume of Thalamus-Proper (left hemisphere)
78,26589,49,Volume of Thalamus-Proper (right hemisphere)
79,26565,28,Volume of VentralDC (left hemisphere)
80,26596,60,Volume of VentralDC (right hemisphere)
81,26528,77,Volume of WM-hypointensities (whole brain)
82,26567,31,Volume of choroid-plexus (left hemisphere)
83,26598,63,Volume of choroid-plexus (right hemisphere)
84,26529,80,Volume of non-WM-hypointensities (whole brain)
85,26566,30,Volume of vessel (left hemisphere)
86,26597,62,Volume of vessel (right hemisphere)
